"title","authors","affiliations","paper_date","metric","year"
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (ensemble)","Jacob Devlin","Google",2018-10-11,"93.16",2018
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (ensemble)","Ming-Wei Chang","Google",2018-10-11,"93.16",2018
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (ensemble)","Kenton Lee","Google",2018-10-11,"93.16",2018
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (ensemble)","Kristina Toutanova","Google",2018-10-11,"93.16",2018
"@@@ATB (single model)","","",NA,"92.641",NA
"@@@Tuned BERT Large Cased (single model)","","",NA,"92.617",NA
"@@@BERT+MT (single model)","","",NA,"92.645",NA
"@@@Knowledge-enhanced BERT (single model)","","",NA,"92.425",NA
"@@@KT-NET (single model)","","",NA,"92.425",NA
"@@@ST_bl","","",NA,"91.976",NA
"@@@nlnet (ensemble)","","",NA,"91.202",NA
"@@@EL-BERT (single model)","","",NA,"91.807",NA
"@@@BISAN (single model)","","",NA,"91.756",NA
"@@@BERT+Sparse-Transformer","","",NA,"91.623",NA
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (single model)","Jacob Devlin","Google",2018-10-11,"91.835",2018
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (single model)","Ming-Wei Chang","Google",2018-10-11,"91.835",2018
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (single model)","Kenton Lee","Google",2018-10-11,"91.835",2018
"BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding@@@BERT (single model)","Kristina Toutanova","Google",2018-10-11,"91.835",2018
"@@@DPN (single model)","","",NA,"92.019",NA
"@@@BERT-uncased (single model)","","",NA,"91.932",NA
"@@@WD (single model)","","",NA,"90.561",NA
"@@@Original BERT Large Cased (single model)","","",NA,"91.281",NA
"@@@MARS (ensemble)","","",NA,"89.796",NA
"@@@WD1 (single model)","","",NA,"90.429",NA
"@@@nlnet (single model)","","",NA,"90.133",NA
"@@@Common-sense Governed BERT-123 (single model)","","",NA,"91.074",NA
"@@@Reinforced Mnemonic Reader + A2D (ensemble model)","","",NA,"88.764",NA
"@@@QANet (ensemble)","","",NA,"89.045",NA
"@@@r-net+ (ensemble)","","",NA,"88.493",NA
"@@@Hybrid AoA Reader (ensemble)","","",NA,"89.281",NA
"@@@QANet (single)","","",NA,"89.306",NA
"@@@SLQA+ (ensemble)","","",NA,"88.607",NA
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Minghao Hu","National University of Defense Technology",2017-05-08,"88.533",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Peng Yuxing","National University of Defense Technology",2017-05-08,"88.533",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Yuxing Peng","National University of Defense Technology",2017-05-08,"88.533",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Zhen Huang","National University of Defense Technology",2017-05-08,"88.533",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Xipeng Qiu","Fudan University",2017-05-08,"88.533",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Furu Wei","Microsoft",2017-05-08,"88.533",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (ensemble model)","Ming Zhou","Microsoft",2017-05-08,"88.533",2017
"@@@r-net (ensemble)","","",NA,"88.126",NA
"@@@BERT (single model)","","",NA,"88.947",NA
"@@@AttentionReader+ (ensemble)","","",NA,"88.163",NA
"@@@MMIPN","","",NA,"88.948",NA
"@@@KACTEIL-MRC(GF-Net+) (ensemble)","","",NA,"87.557",NA
"@@@Reinforced Mnemonic Reader + A2D + DA (single model)","","",NA,"88.122",NA
"@@@ARSG-BERT (single model)","","",NA,"88.909",NA
"@@@BERT-COMPOUND-DSS (single model)","","",NA,"87.999",NA
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Matthew E. Peters","Allen Institute for Artificial Intelligence",2018-02-15,"87.432",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Mark Neumann","Allen Institute for Artificial Intelligence",2018-02-15,"87.432",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Mohit Iyyer","Allen Institute for Artificial Intelligence",2018-02-15,"87.432",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Matt Gardner","Allen Institute for Artificial Intelligence",2018-02-15,"87.432",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Christopher Clark","University of Washington",2018-02-15,"87.432",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Kenton Lee","University of Washington",2018-02-15,"87.432",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (ensemble)","Luke Zettlemoyer","University of Washington",2018-02-15,"87.432",2018
"@@@BiDAF + Self Attention + ELMo (ensemble)","","",NA,"87.432",NA
"@@@QANet (single model)","","",NA,"87.773",NA
"@@@BERT-COMPOUND (single model)","","",NA,"87.758",NA
"@@@AVIQA+ (ensemble)","","",NA,"87.311",NA
"@@@Reinforced Mnemonic Reader + A2D (single model)","","",NA,"87.454",NA
"@@@SLQA+","","",NA,"87.021",NA
"@@@{EAZI} (ensemble)","","",NA,"86.912",NA
"@@@EAZI+ (ensemble)","","",NA,"86.912",NA
"@@@DNET (ensemble)","","",NA,"86.721",NA
"@@@Hybrid AoA Reader (single model)","","",NA,"87.288",NA
"@@@BiDAF + Self Attention + ELMo + A2D (single model)","","",NA,"86.711",NA
"@@@r-net+ (single model)","","",NA,"86.536",NA
"@@@batch (single model)","","",NA,"88.263",NA
"A Multi-Stage Memory Augmented Neural Network for Machine Reading Comprehension@@@MAMCN+ (single model)","Seunghak Yu","Samsung",2018-07-01,"86.727",2018
"A Multi-Stage Memory Augmented Neural Network for Machine Reading Comprehension@@@MAMCN+ (single model)","Sathish Reddy Indurthi","Samsung",2018-07-01,"86.727",2018
"A Multi-Stage Memory Augmented Neural Network for Machine Reading Comprehension@@@MAMCN+ (single model)","Seohyun Back","Samsung",2018-07-01,"86.727",2018
"A Multi-Stage Memory Augmented Neural Network for Machine Reading Comprehension@@@MAMCN+ (single model)","Haejun Lee","",2018-07-01,"86.727",2018
"@@@MAMCN+ (single model)","","",NA,"86.727",NA
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (ensemble model)","Xiaodong Liu","Microsoft",2017-12-10,"86.496",2017
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (ensemble model)","Yelong Shen","Microsoft",2017-12-10,"86.496",2017
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (ensemble model)","Kevin Duh","Johns Hopkins University",2017-12-10,"86.496",2017
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (ensemble model)","Jianfeng Gao","Microsoft",2017-12-10,"86.496",2017
"@@@BERT-INDEPENDENT-DSS-FILTERED (single model)","","",NA,"87.374",NA
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Minghao Hu","National University of Defense Technology",2017-05-08,"86.654",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Peng Yuxing","National University of Defense Technology",2017-05-08,"86.654",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Yuxing Peng","National University of Defense Technology",2017-05-08,"86.654",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Zhen Huang","National University of Defense Technology",2017-05-08,"86.654",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Xipeng Qiu","Fudan University",2017-05-08,"86.654",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Furu Wei","Microsoft",2017-05-08,"86.654",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Reinforced Mnemonic Reader (single model)","Ming Zhou","Microsoft",2017-05-08,"86.654",2017
"@@@SLQA+ (single model)","","",NA,"86.590",NA
"@@@Interactive AoA Reader+ (ensemble)","","",NA,"86.450",NA
"@@@MIR-MRC(F-Net) (single model)","","",NA,"86.288",NA
"@@@KACTEIL-MRC(GF-Net+Distillation) (single model)","","",NA,"86.288",NA
"@@@MDReader","","",NA,"86.006",NA
"FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension@@@FusionNet (ensemble)","","",2017-11-16,"86.016",2017
"DCN+: Mixed Objective and Deep Residual Coattention for Question Answering@@@DCN+ (ensemble)","Caiming Xiong","Salesforce.com",2017-10-31,"85.996",2017
"DCN+: Mixed Objective and Deep Residual Coattention for Question Answering@@@DCN+ (ensemble)","Victor Zhong","Salesforce.com",2017-10-31,"85.996",2017
"DCN+: Mixed Objective and Deep Residual Coattention for Question Answering@@@DCN+ (ensemble)","Richard Socher","Salesforce.com",2017-10-31,"85.996",2017
"@@@KACTEIL-MRC(GF-Net+) (single model)","","",NA,"85.780",NA
"@@@BERT-INDEPENDENT (single model)","","",NA,"86.663",NA
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Matthew E. Peters","Allen Institute for Artificial Intelligence",2018-02-15,"85.833",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Mark Neumann","Allen Institute for Artificial Intelligence",2018-02-15,"85.833",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Mohit Iyyer","Allen Institute for Artificial Intelligence",2018-02-15,"85.833",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Matt Gardner","Allen Institute for Artificial Intelligence",2018-02-15,"85.833",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Christopher Clark","University of Washington",2018-02-15,"85.833",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Kenton Lee","University of Washington",2018-02-15,"85.833",2018
"Deep contextualized word representations@@@BiDAF + Self Attention + ELMo (single model)","Luke Zettlemoyer","University of Washington",2018-02-15,"85.833",2018
"@@@BiDAF + Self Attention + ELMo (single model)","","",NA,"85.833",NA
"@@@aviqa (ensemble)","","",NA,"85.469",NA
"@@@KakaoNet (single model)","","",NA,"85.724",NA
"@@@SLQA(ensemble)","","",NA,"85.682",NA
"@@@SLQA (ensemble)","","",NA,"85.682",NA
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN  (single model)","Boyuan Pan","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN  (single model)","Hao Li","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN  (single model)","Zhou Zhao","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN  (single model)","Bin Cao","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN  (single model)","Deng Cai","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN  (single model)","Xiaofei He","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (single model)","Boyuan Pan","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (single model)","Hao Li","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (single model)","Zhou Zhao","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (single model)","Bin Cao","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (single model)","Deng Cai","",2017-07-28,"85.344",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (single model)","Xiaofei He","",2017-07-28,"85.344",2017
"@@@BiDAF++ with pair2vec (single model)","","",NA,"85.535",NA
"@@@MDReader0","","",NA,"85.543",NA
"@@@test","","",NA,"85.348",NA
"@@@Interactive AoA Reader (ensemble)","","",NA,"85.297",NA
"@@@DNET (single model)","","",NA,"84.905",NA
"Contextualized Word Representations for Reading Comprehension@@@RaSoR + TR + LM (single model)","Shimi Salant","",2017-12-10,"84.163",2017
"Contextualized Word Representations for Reading Comprehension@@@RaSoR + TR + LM (single model)","Jonathan Berant","Tel Aviv University",2017-12-10,"84.163",2017
"@@@BiDAF++ (single model)","","",NA,"84.858",NA
"@@@AttentionReader+ (single)","","",NA,"84.925",NA
"@@@Jenga (ensemble)","","",NA,"84.466",NA
"@@@{gqa} (single model)","","",NA,"83.931",NA
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (ensemble)","Rui Liu","",2017-10-28,"84.630",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (ensemble)","Wei Wei","Carnegie Mellon University",2017-10-28,"84.630",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (ensemble)","Weiguang Mao","",2017-10-28,"84.630",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (ensemble)","Maria Chikina","",2017-10-28,"84.630",2017
"@@@MARS (single model)","","",NA,"84.739",NA
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (single model)","Xiaodong Liu","Microsoft",2017-12-10,"84.396",2017
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (single model)","Yelong Shen","Microsoft",2017-12-10,"84.396",2017
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (single model)","Kevin Duh","Johns Hopkins University",2017-12-10,"84.396",2017
"Stochastic Answer Networks for Machine Reading Comprehension@@@SAN (single model)","Jianfeng Gao","Microsoft",2017-12-10,"84.396",2017
"@@@VS^3-NET (single model)","","",NA,"84.491",NA
"@@@r-net (single model)","","",NA,"84.265",NA
"Gated Self-Matching Networks for Reading Comprehension and Question Answering@@@r-net (single model)","Wenhui Wang","Peking University",2017-07-01,"84.265",2017
"Gated Self-Matching Networks for Reading Comprehension and Question Answering@@@r-net (single model)","Nan Yang","Microsoft",2017-07-01,"84.265",2017
"Gated Self-Matching Networks for Reading Comprehension and Question Answering@@@r-net (single model)","Furu Wei","Microsoft",2017-07-01,"84.265",2017
"Gated Self-Matching Networks for Reading Comprehension and Question Answering@@@r-net (single model)","Baobao Chang","Peking University",2017-07-01,"84.265",2017
"Gated Self-Matching Networks for Reading Comprehension and Question Answering@@@r-net (single model)","Ming Zhou","Microsoft",2017-07-01,"84.265",2017
"@@@FRC (single model)","","",NA,"84.599",NA
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","Adams Wei Yu","Carnegie Mellon University",2018-04-23,"84.6",2018
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","David Dohan","Google",2018-04-23,"84.6",2018
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","Minh-Thang Luong","Google",2018-04-23,"84.6",2018
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","Rui Zhao","Google",2018-04-23,"84.6",2018
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","Kai Chen","Google",2018-04-23,"84.6",2018
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","Mohammad Norouzi","Google",2018-04-23,"84.6",2018
"QANet: Combining Local Convolution with Global Self-Attention for Reading Comprehension@@@QANet + data augmentation ×3","Quoc V. Le","Google",2018-04-23,"84.6",2018
"@@@Conductor-net (ensemble)","","",NA,"83.991",NA
"Explicit Utilization of General Knowledge in Machine Reading Comprehension@@@KAR (single model)","Chao Wang","",2018-09-10,"83.538",2018
"Explicit Utilization of General Knowledge in Machine Reading Comprehension@@@KAR (single model)","Hui Jiang","York University",2018-09-10,"83.538",2018
"@@@smarnet (ensemble)","","",NA,"83.475",NA
"FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension@@@FusionNet (single model)","Hsin-Yuan Huang","Microsoft",2017-11-16,"83.900",2017
"FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension@@@FusionNet (single model)","Chenguang Zhu","Microsoft",2017-11-16,"83.900",2017
"FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension@@@FusionNet (single model)","Yelong Shen","Microsoft",2017-11-16,"83.900",2017
"FusionNet: Fusing via Fully-Aware Attention with Application to Machine Comprehension@@@FusionNet (single model)","Weizhu Chen","Microsoft",2017-11-16,"83.900",2017
"@@@AVIQA-v2 (single model)","","",NA,"83.305",NA
"@@@Interactive AoA Reader+ (single model)","","",NA,"83.843",NA
"Contextualized Word Representations for Reading Comprehension@@@RaSoR + TR (single model)","Shimi Salant","",2017-12-10,"83.261",2017
"Contextualized Word Representations for Reading Comprehension@@@RaSoR + TR (single model)","Jonathan Berant","Tel Aviv University",2017-12-10,"83.261",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (ensemble)","Boyuan Pan","",2017-07-28,"82.658",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (ensemble)","Hao Li","",2017-07-28,"82.658",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (ensemble)","Zhou Zhao","",2017-07-28,"82.658",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (ensemble)","Bin Cao","",2017-07-28,"82.658",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (ensemble)","Deng Cai","",2017-07-28,"82.658",2017
"MEMEN: Multi-layer Embedding with Memory Networks for Machine Comprehension@@@MEMEN (ensemble)","Xiaofei He","",2017-07-28,"82.658",2017
"@@@Mixed model (ensemble)","","",NA,"82.769",NA
"@@@two-attention-self-attention (ensemble)","","",NA,"82.716",NA
"@@@Kbs (single model)","","",NA,"83.405",NA
"ReasoNet: Learning to Stop Reading in Machine Comprehension@@@ReasoNet (ensemble)","Yelong Shen","Microsoft",2016-09-17,"82.552",2016
"ReasoNet: Learning to Stop Reading in Machine Comprehension@@@ReasoNet (ensemble)","Po-Sen Huang","Microsoft",2016-09-17,"82.552",2016
"ReasoNet: Learning to Stop Reading in Machine Comprehension@@@ReasoNet (ensemble)","Jianfeng Gao","Microsoft",2016-09-17,"82.552",2016
"ReasoNet: Learning to Stop Reading in Machine Comprehension@@@ReasoNet (ensemble)","Weizhu Chen","Microsoft",2016-09-17,"82.552",2016
"DCN+: Mixed Objective and Deep Residual Coattention for Question Answering@@@DCN+ (single model)","Caiming Xiong","Salesforce.com",2017-10-31,"82.806",2017
"DCN+: Mixed Objective and Deep Residual Coattention for Question Answering@@@DCN+ (single model)","Victor Zhong","Salesforce.com",2017-10-31,"82.806",2017
"DCN+: Mixed Objective and Deep Residual Coattention for Question Answering@@@DCN+ (single model)","Richard Socher","Salesforce.com",2017-10-31,"82.806",2017
"@@@eeAttNet (single model)","","",NA,"82.501",NA
"@@@SLQA (single model)","","",NA,"82.815",NA
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single model)","Rui Liu","",2017-10-28,"82.742",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single model)","Wei Wei","Carnegie Mellon University",2017-10-28,"82.742",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single model)","Weiguang Mao","",2017-10-28,"82.742",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single model)","Maria Chikina","",2017-10-28,"82.742",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Minghao Hu","National University of Defense Technology",2017-05-08,"82.371",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Peng Yuxing","National University of Defense Technology",2017-05-08,"82.371",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Yuxing Peng","National University of Defense Technology",2017-05-08,"82.371",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Zhen Huang","National University of Defense Technology",2017-05-08,"82.371",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Xipeng Qiu","Fudan University",2017-05-08,"82.371",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Furu Wei","Microsoft",2017-05-08,"82.371",2017
"Reinforced Mnemonic Reader for Machine Reading Comprehension@@@Mnemonic Reader (ensemble)","Ming Zhou","Microsoft",2017-05-08,"82.371",2017
"@@@S^3-Net (ensemble)","","",NA,"82.342",NA
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT (ensemble model)","Rui Liu","Beihang University",2017-03-02,"81.761",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT (ensemble model)","Junjie Hu","Carnegie Mellon University",2017-03-02,"81.761",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT (ensemble model)","Wei Wei","Carnegie Mellon University",2017-03-02,"81.761",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT (ensemble model)","Zi Yang","Carnegie Mellon University",2017-03-02,"81.761",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT (ensemble model)","Eric Nyberg","Carnegie Mellon University",2017-03-02,"81.761",2017
"@@@SSAE (ensemble)","","",NA,"81.665",NA
"Multi-Perspective Context Matching for Machine Comprehension@@@Multi-Perspective Matching (ensemble)","Zhiguo Wang","",2016-12-13,"81.257",2016
"Multi-Perspective Context Matching for Machine Comprehension@@@Multi-Perspective Matching (ensemble)","Haitao Mi","",2016-12-13,"81.257",2016
"Multi-Perspective Context Matching for Machine Comprehension@@@Multi-Perspective Matching (ensemble)","Wael Hamza","",2016-12-13,"81.257",2016
"Multi-Perspective Context Matching for Machine Comprehension@@@Multi-Perspective Matching (ensemble)","Radu Florian","",2016-12-13,"81.257",2016
"Bidirectional Attention Flow for Machine Comprehension@@@BiDAF (ensemble)","Minjoon Seo","University of Washington",2016-11-05,"81.525",2016
"Bidirectional Attention Flow for Machine Comprehension@@@BiDAF (ensemble)","Aniruddha Kembhavi","Allen Institute for Artificial Intelligence",2016-11-05,"81.525",2016
"Bidirectional Attention Flow for Machine Comprehension@@@BiDAF (ensemble)","Ali Farhadi","Allen Institute for Artificial Intelligence",2016-11-05,"81.525",2016
"Bidirectional Attention Flow for Machine Comprehension@@@BiDAF (ensemble)","Hannaneh Hajishirzi","University of Washington",2016-11-05,"81.525",2016
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT+BiDAF (ensemble)","Rui Liu","Beihang University",2017-03-02,"81.530",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT+BiDAF (ensemble)","Junjie Hu","Carnegie Mellon University",2017-03-02,"81.530",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT+BiDAF (ensemble)","Wei Wei","Carnegie Mellon University",2017-03-02,"81.530",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT+BiDAF (ensemble)","Zi Yang","Carnegie Mellon University",2017-03-02,"81.530",2017
"Structural Embedding of Syntactic Trees for Machine Comprehension@@@SEDT+BiDAF (ensemble)","Eric Nyberg","Carnegie Mellon University",2017-03-02,"81.530",2017
"@@@Interactive AoA Reader (single model)","","",NA,"81.931",NA
"@@@Jenga (single model)","","",NA,"81.754",NA
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single)","Rui Liu","",2017-10-28,"81.933",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single)","Wei Wei","Carnegie Mellon University",2017-10-28,"81.933",2017
"Phase Conductor on Multi-layered Attentions for Machine Comprehension@@@Conductor-net (single)","Weiguang Mao","",2017-10-28,"81.933",2017
